# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805
# Forweb s.c. PL Geofeed,lastupdated (rfc3339): 2025-09-01T09:15:38+02:00
91.193.96.38/32,PL,PL-10,Lodz,
91.193.97.100/32,PL,PL-10,Lodz,
91.193.97.196/32,PL,PL-10,Lodz,
91.193.97.199/32,PL,PL-10,Lodz,
95.175.2.169/32,PL,PL-10,Lodz,
95.175.4.130/31,PL,PL-10,Lodz,
95.175.4.135/32,PL,PL-10,Lodz,
95.175.4.136/31,PL,PL-10,Lodz,
95.175.4.140/32,PL,PL-10,Lodz,
95.175.4.142/31,PL,PL-10,Lodz,
95.175.16.3/32,PL,PL-10,Lodz,
95.175.16.6/32,PL,PL-10,Lodz,
95.175.16.9/32,PL,PL-10,Lodz,
95.175.16.10/31,PL,PL-10,Lodz,
95.175.16.12/30,PL,PL-10,Lodz,
95.175.16.16/32,PL,PL-10,Lodz,
95.175.16.19/32,PL,PL-10,Lodz,
95.175.16.22/31,PL,PL-10,Lodz,
95.175.16.24/31,PL,PL-10,Lodz,
95.175.16.28/32,PL,PL-10,Lodz,
95.175.16.30/31,PL,PL-10,Lodz,
95.175.16.33/32,PL,PL-10,Lodz,
95.175.16.35/32,PL,PL-10,Lodz,
95.175.16.37/32,PL,PL-10,Lodz,
95.175.16.39/32,PL,PL-10,Lodz,
95.175.16.40/31,PL,PL-10,Lodz,
95.175.16.42/32,PL,PL-10,Lodz,
95.175.16.44/32,PL,PL-10,Lodz,
95.175.16.48/32,PL,PL-10,Lodz,
95.175.16.50/31,PL,PL-10,Lodz,
95.175.16.52/30,PL,PL-10,Lodz,
95.175.16.58/31,PL,PL-10,Lodz,
95.175.16.60/30,PL,PL-10,Lodz,
95.175.16.64/31,PL,PL-10,Lodz,
95.175.16.67/32,PL,PL-10,Lodz,
95.175.16.69/32,PL,PL-10,Lodz,
95.175.16.70/32,PL,PL-10,Lodz,
95.175.16.72/30,PL,PL-10,Lodz,
95.175.16.76/31,PL,PL-10,Lodz,
95.175.16.80/30,PL,PL-10,Lodz,
95.175.16.85/32,PL,PL-10,Lodz,
95.175.16.86/31,PL,PL-10,Lodz,
95.175.16.88/32,PL,PL-10,Lodz,
95.175.16.90/31,PL,PL-10,Lodz,
95.175.16.94/31,PL,PL-10,Lodz,
95.175.16.96/32,PL,PL-10,Lodz,
95.175.16.103/32,PL,PL-10,Lodz,
95.175.16.104/31,PL,PL-10,Lodz,
95.175.16.106/32,PL,PL-10,Lodz,
95.175.16.109/32,PL,PL-10,Lodz,
95.175.16.110/31,PL,PL-10,Lodz,
95.175.16.112/30,PL,PL-10,Lodz,
95.175.16.116/31,PL,PL-10,Lodz,
95.175.16.118/32,PL,PL-10,Lodz,
95.175.16.122/31,PL,PL-10,Lodz,
95.175.16.124/31,PL,PL-10,Lodz,
95.175.16.128/32,PL,PL-10,Lodz,
95.175.16.131/32,PL,PL-10,Lodz,
95.175.16.132/32,PL,PL-10,Lodz,
95.175.16.136/32,PL,PL-10,Lodz,
95.175.16.140/30,PL,PL-10,Lodz,
95.175.16.144/31,PL,PL-10,Lodz,
95.175.16.147/32,PL,PL-10,Lodz,
95.175.16.148/30,PL,PL-10,Lodz,
95.175.16.152/32,PL,PL-10,Lodz,
